outcome,family,arm,comparison,estimate,se,df_satterthwaite,t,p_unadjusted,p_bonferroni,ci_lo_bonferroni,ci_hi_bonferroni,bonferroni_m,ci_level,sig_unadjusted,sig_bonferroni,scoring,improvement,n_subj,N_obs,model
CJARS_ss,C-JARS,Control,T2 - T1,-3.475788108823035,1.2613937701044127,76.63262560493797,-2.755513933238567,0.007318333071041902,0.021954999213125707,-6.563259776376819,-0.38831644126925147,3,98.33% per-comparison (= 95% familywise over 3),True,True,lower = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ss,C-JARS,Control,T3 - T2,1.5898257215312435,1.2645680563185109,75.9603533995879,1.2572085097259558,0.21252997159020964,0.637589914770629,-1.5060292168331797,4.685680659895667,3,98.33% per-comparison (= 95% familywise over 3),False,False,lower = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ss,C-JARS,Control,T3 - T1,-1.8859623872917917,1.2391029167486634,76.44568957932651,-1.5220385343296998,0.13212539474819285,0.39637618424457854,-4.9190395949980745,1.1471148204144912,3,98.33% per-comparison (= 95% familywise over 3),False,False,lower = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ss,C-JARS,Intervention,T2 - T1,-9.948717993515844,1.269528076628615,76.48218071969904,-7.836548223443679,2.1808900172552304e-11,6.542670051765691e-11,-13.056236643186633,-6.841199343845055,3,98.33% per-comparison (= 95% familywise over 3),True,True,lower = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ss,C-JARS,Intervention,T3 - T2,1.6500000000000004,1.2732158601937658,75.71104829816687,1.2959310762504115,0.1989360476591053,0.5968081429773159,-1.4672580575394387,4.76725805753944,3,98.33% per-comparison (= 95% familywise over 3),False,False,lower = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ss,C-JARS,Intervention,T3 - T1,-8.298717993515844,1.269528076628615,76.48218072202141,-6.536852666980073,6.319704399944012e-09,1.8959113199832037e-08,-11.406236643184515,-5.191199343847172,3,98.33% per-comparison (= 95% familywise over 3),True,True,lower = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Control,T2 - T1,5.76903524841903,3.4647728670478037,77.62068745881692,1.6650543830120088,0.09993353395595271,0.2998006018678581,-2.709157051304059,14.247227548142119,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Control,T3 - T2,-2.9529167053148555,3.4718063209310093,77.06806998213916,-0.8505418886739606,0.39765870254032376,1.0,-11.449666538075988,5.543833127446277,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Control,T3 - T1,2.8161185431041744,3.4031030440771586,77.47821303526995,0.8275149199509001,0.4104868407910335,1.0,-5.511508142883036,11.143745229091385,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Intervention,T2 - T1,23.825056106701872,3.4867553839937515,77.50831429817308,6.8330162236424234,1.6751726241999699e-09,5.025517872599909e-09,15.29279979598611,32.35731241741763,3,98.33% per-comparison (= 95% familywise over 3),True,True,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Intervention,T3 - T2,-1.0999999999999943,3.4949325683751105,76.87289911008133,-0.31474140873379264,0.7538107045019884,1.0,-9.653831630781987,7.453831630781998,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_ps,C-JARS,Intervention,T3 - T1,22.725056106701878,3.486755383993752,77.5083142994116,6.517536679235712,6.560666750458496e-09,1.9682000251375487e-08,14.192799795989133,31.257312417414624,3,98.33% per-comparison (= 95% familywise over 3),True,True,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Control,T2 - T1,0.3744685420734235,0.15438733422152962,77.09933651757244,2.4255133619711344,0.017625060829437645,0.05287518248831294,-0.003368983574796647,0.7523060677216437,3,98.33% per-comparison (= 95% familywise over 3),True,False,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Control,T3 - T2,-0.18039750260450693,0.15471154795188743,76.52659158273106,-1.1660248054696432,0.2472256159810963,0.7416768479432889,-0.5590915762953932,0.19829657108637927,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Control,T3 - T1,0.19407103946891657,0.151642121900439,76.95004806148827,1.279796385309976,0.20446182501965107,0.6133854750589532,-0.17706405946987974,0.5652061384077129,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Intervention,T2 - T1,1.2578748287654593,0.1553690759457818,76.98123146099894,8.096043701800815,6.653382495198112e-12,1.9960147485594335e-11,0.8776216663328917,1.6381279911980269,3,98.33% per-comparison (= 95% familywise over 3),True,True,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Intervention,T3 - T2,-0.1375000000000004,0.15574597253701314,76.32291767055426,-0.8828478692591774,0.380090755937469,1.0,-0.5187488984924897,0.24374889849248893,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
CJARS_sjas,C-JARS,Intervention,T3 - T1,1.120374828765459,0.1553690759457818,76.98123146358056,7.211054207186179,3.3078139666402655e-10,9.923441899920797e-10,0.7401216663331757,1.5006279911977423,3,98.33% per-comparison (= 95% familywise over 3),True,True,higher = better,True,43,124,Outcome ~ Group*Time + VerbalStatus + (1|participant)
BS_RJA,Behavioural sample,Control,T2 - T1,-0.4090491065684674,0.7773803573225486,75.6245954819697,-0.5261891462981046,0.6002965935808382,1.0,-2.312385436450267,1.4942872233133324,3,98.33% per-comparison (= 95% familywise over 3),False,False,higher = better,False,41,119,Outcome ~ Group*Time + VerbalStatus + (1|participant)
