outcome,family,contrast,scoring,unadj_estimate,unadj_se,unadj_df,unadj_t,unadj_p,unadj_ci_lo,unadj_ci_hi,unadj_d,adj_estimate,adj_se,adj_df,adj_t,adj_p,adj_ci_lo,adj_ci_hi,adj_d,unadj_F,unadj_num_df,unadj_den_df,adj_F,adj_num_df,adj_den_df
CJARS_ss,C-JARS,Group difference at T1,lower = better,0.49567099567100814,2.672641003307835,51.97035092326607,0.18546112068831294,0.8535893088176988,-4.86744836287049,5.858790354212506,0.0479723315257911,0.3750082189726598,2.439548948745201,54.37291852283379,0.15372030930781197,0.8783993879101224,-4.51522479905947,5.26524123700479,0.036294273343751224,,,,,,
CJARS_ss,C-JARS,Group difference at T2,lower = better,-5.9552029896867955,2.7076114633898962,54.276827684624884,-2.1994304094986195,0.032126314681207725,-11.38300311902152,-0.52740286035207,-0.5763600747667209,-6.097921665720149,2.4771322560444826,57.050879130012405,-2.4616859478699737,0.016874795794265807,-11.058197574777012,-1.1376457566632867,-0.5901727604017268,,,,,,
CJARS_ss,C-JARS,Group difference at T3,lower = better,-5.93825325966495,2.6972792253112052,53.554031860702764,-2.2015715703218715,0.03202469896453806,-11.347004048796043,-0.529502470533858,-0.5747196356952763,-6.037747387251392,2.465775153940732,56.18143292087868,-2.4486204176410955,0.01748681073906756,-10.976936588139626,-1.0985581863631575,-0.5843489368146303,,,,,,
CJARS_ss,C-JARS,Treatment difference in change T1->T2,lower = better,-6.450873985357804,1.7940733883305187,75.84606345906734,-3.595657807153969,0.0005733546882252812,-10.024198097183618,-2.877549873531989,-0.6243324062925121,-6.4729298846928085,1.7892773324365592,76.60412526336079,-3.6176224710108285,0.0005306742997497993,-10.036130098416246,-2.9097296709693716,-0.6264670337454781,,,,,,
CJARS_ss,C-JARS,Treatment difference in change T1->T3,lower = better,-6.433924255335959,1.778441650808591,75.7484662008982,-3.617731429316612,0.0005336255697629109,-9.97618800210657,-2.8916605085653484,-0.6226919672210673,-6.412755606224052,1.7737752063800805,76.49193616905735,-3.6153147158433905,0.0005351334605217183,-9.94516771156346,-2.880343500884643,-0.6206432101583814,,,,,,
CJARS_ss,C-JARS,Omnibus Group x Time (2 df),,,,,,0.00039379860993674635,,,,,,,,0.0003754772007928097,,,,8.711993708039046,2.0,75.59095558628168,8.76174227873227,2.0,76.30959321630722
CJARS_ps,C-JARS,Group difference at T1,higher = better,2.3506493506492703,7.90830412418178,51.31160126660623,0.297238107404282,0.767484768374275,-13.52359305558013,18.22489175687867,0.08564803217873054,2.6551744901763215,7.443998736940449,52.139274499402724,0.3566865852623213,0.7227659419754124,-12.28135209798529,17.591701078337934,0.09674368068208611,,,,,,
CJARS_ps,C-JARS,Group difference at T2,higher = better,20.3685741343563,7.998549052537398,53.32206957745224,2.5465336276077135,0.013802341923050455,4.3277781425981345,36.40937012611447,0.7421473953196605,20.711195348459164,7.539005130456528,54.35424037202588,2.747205365969155,0.0081367610525575,5.598655814975324,35.823734881943004,0.7546311087082577,,,,,,
CJARS_ps,C-JARS,Group difference at T3,higher = better,22.29752883019119,7.972060888579256,52.70148946749086,2.796959173020686,0.007185410945279684,6.3054851138360455,38.28957254654634,0.812430601878966,22.564112053774025,7.510612693689661,53.65283592956687,3.004297115830797,0.004039634958806475,7.504008468522992,37.62421563902506,0.8221438024060569,,,,,,
CJARS_ps,C-JARS,Treatment difference in change T1->T2,higher = better,18.01792478370703,4.924166814037415,77.07510950387245,3.6590809093516072,0.0004611692928712648,8.212808457877504,27.823041109536558,0.6564993631409299,18.056020858282842,4.914670101855266,77.60528125348905,3.6739029241182997,0.0004373555043672928,8.270880371808124,27.84116134475756,0.6578874280261716,,,,,,
CJARS_ps,C-JARS,Treatment difference in change T1->T3,higher = better,19.94687947954192,4.881023117937012,76.99384792727004,4.086618521891485,0.00010645831467064549,10.227508348268769,29.66625061081507,0.7267825697002355,19.908937563597704,4.8717072558555605,77.51831907548548,4.086644890180564,0.00010588587925901719,10.209164106798585,29.60871102039682,0.7254001217239707,,,,,,
CJARS_ps,C-JARS,Omnibus Group x Time (2 df),,,,,,0.0001242172571372293,,,,,,,,0.00012013379490686335,,,,10.13301205220215,2.0,76.85566852975077,10.167112522076216,2.0,77.36415564735884
