outcome,contrast,levels_K,estimate_logOR,se,OR,or_ci_lo,or_ci_hi,test,p,p_primary_LMM,re_sd,converged,quasi_separated,n_subj,n_obs,po_min_p,po_verdict,OR_direction_note
ACSF_tp,Overall Group x Time,4,,,,,,Wald chi2(2) = 3.5433,0.17005275983309845,0.1106914364500597,6.007513297971376,True,True,43,124,0.8687864635673732,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
ACSF_tp,T1->T2 treatment-related change,4,-3.425253721330832,1.9226880395027934,0.032541023589796714,0.0007512874081919425,1.4094715347620583,z = -1.7815,0.07483208005059316,0.073455062324276,6.007513297971376,True,True,43,124,0.8687864635673732,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
ACSF_tp,T1->T3 treatment-related change,4,-3.070788923096962,1.9780140004301383,0.04638454657863369,0.0009608460457700588,2.2391996832136862,z = -1.5525,0.12055203845651365,0.0664287765246407,6.007513297971376,True,True,43,124,0.8687864635673732,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
ACSF_cc,Overall Group x Time,5,,,,,,Wald chi2(2) = 9.8857,0.007134390462449875,0.0013557499733857,405953758.32006156,True,False,43,124,0.7148841442473302,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
ACSF_cc,T1->T2 treatment-related change,5,-4.267636249113114,1.5747939251454177,0.014014871696797881,0.0006398784366424524,0.30695928699885033,z = -2.7100,0.00672903303808885,0.0012911176167776,405953758.32006156,True,False,43,124,0.7148841442473302,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
ACSF_cc,T1->T3 treatment-related change,5,-4.217803627906653,1.5788741198639629,0.014730963676973744,0.0006672158822710178,0.3252340008959433,z = -2.6714,0.007553567452461031,0.001907067524196,405953758.32006156,True,False,43,124,0.7148841442473302,NOT ASSESSABLE / UNINFORMATIVE,Model: P(Y<=k)=logistic(theta_k - X'beta). OR > 1 = higher odds of a WORSE (higher-numbered) ACSF level; OR < 1 = benefit.
