outcome,family,adj_time_F,adj_time_df2,adj_time_p,adj_time_sig,adj_interaction_F,adj_interaction_df2,adj_interaction_p,adj_interaction_sig,qualifies_adjusted,qualified_in_07_inventory_unadjusted,qualification_status_changed
CJARS_ss,C-JARS,30.878803817678406,76.26006807391465,1.5006263353191662e-10,True,8.76174227873227,76.30959321630722,0.0003754772007928097,True,True,True,no
CJARS_ps,C-JARS,21.52607255055532,77.32050030367188,3.700141654166623e-08,True,10.167112522076216,77.36415564735884,0.00012013379490686335,True,True,True,no
CJARS_sjas,C-JARS,31.4944519311573,76.7873334206969,1.0283174768399366e-10,True,11.56375605184836,76.83213949651659,4.071384658808202e-05,True,True,True,no
BS_RJA,Behavioural sample,3.254646132078524,75.10954705776226,0.04410118443356664,True,2.137015179116468,75.10330273826969,0.12512768188093654,False,True,True,no
BS_IJA,Behavioural sample,1.8990445500649262,74.15641302243736,0.15692114493255385,False,0.3639647077008394,74.15128372768979,0.6961502072090981,False,False,False,no
BS_EC,Behavioural sample,3.140078096423825,74.5474528391021,0.04905560952771398,True,0.1965315681533212,74.54211159855782,0.8219997207797012,False,True,True,no
BS_FL,Behavioural sample,2.721147973518599,76.31286266683986,0.07218683640902958,False,0.41917868249910484,76.3063064914852,0.6590916315616133,False,False,False,no
BS_T,Behavioural sample,3.754067523449306,75.04299548378461,0.02793362652141977,True,0.44856069534019527,75.03650841854127,0.6402475199926319,False,True,True,no
JAST_arja,JAST,16.135274849807146,74.22441807380072,1.5186687711954116e-06,True,7.580619967924064,74.2202780249808,0.0010099002836198145,True,True,True,no
JAST_aija,JAST,48.1326776329631,74.31360367879329,3.905735664818955e-14,True,11.555271893336435,74.30895999776311,4.270290410619026e-05,True,True,True,no
GARS_rr,GARS-3,45.09812159983295,77.5683112992246,1.0155289472837084e-13,True,16.29982148176836,77.61681715849977,1.2298242512819915e-06,True,True,True,no
GARS_si,GARS-3,36.98450320911821,75.99339968752912,6.069127128833658e-12,True,12.32207247123893,76.02958422020863,2.3159106681827888e-05,True,True,True,no
GARS_sc,GARS-3,2.3766663382048754,77.0642173285604,0.09963409563589294,False,5.169335723091565,77.09843532356184,0.007821264833668441,True,True,True,no
GARS_er,GARS-3,32.960402779645456,77.07312039276532,4.53129949462392e-11,True,29.605640006084,77.11811326053372,2.8788089732932975e-10,True,True,True,no
ACSF_tp,ACSF:SC,8.526379971202779,76.90352298509384,0.00045235718416570137,True,2.265178939787946,76.953994415075,0.11069143645005977,False,True,True,no
ACSF_cc,ACSF:SC,10.58470802759517,76.84763010930908,8.703861727815039e-05,True,7.20436807412149,76.89637025708113,0.0013557499733857746,True,True,True,no
