outcome,family,contrast,test,p_raw,Holm_within_family,BH_within_family,Holm_all,BH_all,p_raw_sig,Holm_within_family_sig,BH_within_family_sig,Holm_all_sig,BH_all_sig,model,estimand,excluded_from_families
JAST_arja,PRIMARY (joint attention),Treatment difference in change T1->T2,JAST_arja | T1->T2,0.0016850173361481,0.0185351906976291,0.0033700346722962,0.0269602773783696,0.003171797338631718,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
JAST_arja,PRIMARY (joint attention),Treatment difference in change T1->T3,JAST_arja | T1->T3,0.0009661238936728,0.0115934867240736,0.0021469419859395556,0.0173902300861104,0.002061064306501973,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
JAST_aija,PRIMARY (joint attention),Treatment difference in change T1->T2,JAST_aija | T1->T2,8.719862127571913e-05,0.0016567738042386636,0.00051227483201,0.0022671641531686972,0.0003388348136288,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
JAST_aija,PRIMARY (joint attention),Treatment difference in change T1->T3,JAST_aija | T1->T3,9.532408770892972e-05,0.0017158335787607348,0.00051227483201,0.002383102192723243,0.0003388348136288,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_rr,SECONDARY (social communication),Treatment difference in change T1->T2,GARS_rr | T1->T2,1.0517338928122016e-05,9.465605035309814e-05,3.155201678436605e-05,0.00030500282891553844,8.413871142497613e-05,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_rr,SECONDARY (social communication),Treatment difference in change T1->T3,GARS_rr | T1->T3,2.093736453855675e-06,2.093736453855675e-05,8.3749458154227e-06,6.281209361567025e-05,2.2333188841127202e-05,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_si,SECONDARY (social communication),Treatment difference in change T1->T2,GARS_si | T1->T2,9.937561725460826e-05,0.0006956293207822578,0.00019875123450921648,0.002385014814110598,0.0003388348136288,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_si,SECONDARY (social communication),Treatment difference in change T1->T3,GARS_si | T1->T3,2.8682008033805972e-05,0.00022945606427044778,6.883681928113434e-05,0.0008030962249465672,0.00018356485141635823,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_sc,SECONDARY (social communication),Treatment difference in change T1->T2,GARS_sc | T1->T2,0.0024608614728727,0.0098434458914908,0.0032811486304969335,0.0344520606202178,0.004144608796417179,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_sc,SECONDARY (social communication),Treatment difference in change T1->T3,GARS_sc | T1->T3,0.0320476271259047,0.0961428813777141,0.03845715255108564,0.4166191526367611,0.05127620340144752,True,False,True,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_er,SECONDARY (social communication),Treatment difference in change T1->T2,GARS_er | T1->T2,1.19753439398945e-07,1.317287833388395e-06,7.185206363936701e-07,3.712356621367295e-06,1.91605503038312e-06,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
GARS_er,SECONDARY (social communication),Treatment difference in change T1->T3,GARS_er | T1->T3,2.83265138821225e-10,3.3991816658546998e-09,3.3991816658546998e-09,9.0644844422792e-09,9.0644844422792e-09,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
ACSF_tp,SECONDARY (social communication),Treatment difference in change T1->T2,ACSF_tp | T1->T2,0.073455062324276,0.1328575530492814,0.073455062324276,0.73455062324276,0.10219834758160139,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
ACSF_tp,SECONDARY (social communication),Treatment difference in change T1->T3,ACSF_tp | T1->T3,0.0664287765246407,0.1328575530492814,0.07246775620869896,0.7307165417710477,0.09662367494493193,False,False,False,False,False,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
ACSF_cc,SECONDARY (social communication),Treatment difference in change T1->T2,ACSF_cc | T1->T2,0.0012911176167776,0.0077467057006656,0.002213344485904457,0.0219489994852192,0.0025822352335552,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
ACSF_cc,SECONDARY (social communication),Treatment difference in change T1->T3,ACSF_cc | T1->T3,0.001907067524196,0.00953533762098,0.0028606012862939997,0.028606012862939997,0.003390342265237333,True,True,True,True,True,verbal-adjusted primary LMM,difference in change from T1 (Group x Time contrast),"GARS_tot_6, GARS_cs, GARS_ms, JAST_RT_t1..t4"
