outcome,model,quantity,term,spss,python,abs_diff,rel_diff
ACSF_tp,B_verbal_adjusted,verbal coefficient,verbal,-0.90188818106752,-0.9018881803588112,7.087087583457219e-10,7.858055723791155e-10
ACSF_tp,B_verbal_adjusted,verbal SE,verbal,0.17869606931208,0.1786960696774409,3.653608804388142e-10,2.0445938281985224e-09
ACSF_tp,B_verbal_adjusted,verbal df (Satterthwaite),verbal,39.999120001932,40.00010199473691,0.000981992804909737,2.4550360229482695e-05
ACSF_cc,B_verbal_adjusted,verbal coefficient,verbal,-0.74018280673629,-0.7401828069692535,2.3296353734991726e-10,3.147378393955546e-10
ACSF_cc,B_verbal_adjusted,verbal SE,verbal,0.20758427653898,0.2075842771835475,6.445674827215697e-10,3.105088176562994e-09
ACSF_cc,B_verbal_adjusted,verbal df (Satterthwaite),verbal,39.947468456772,39.94880986754017,0.0013414107681697374,3.357936860558026e-05
CJARS_ss,A_unadjusted,EMM contrast estimate,group diff at T1,0.49567099567104,0.4956709956710081,3.191891195797325e-14,6.439535949599268e-14
CJARS_ss,A_unadjusted,EMM contrast SE,group diff at T1,2.6726409821084,2.672641003307835,2.1199435096264097e-08,7.932017520565082e-09
CJARS_ss,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T1,51.965236834342,51.97035092326607,0.005114088924067062,9.84136556592645e-05
CJARS_ss,A_unadjusted,EMM contrast p,group diff at T1,0.85358937853473,0.8535893088176988,6.971703125913109e-08,8.167513913868894e-08
CJARS_ss,A_unadjusted,EMM contrast CI lower,group diff at T1,-4.8674608908613,-4.86744836287049,1.2527990810085043e-05,2.5738246471803104e-06
CJARS_ss,A_unadjusted,EMM contrast CI upper,group diff at T1,5.8588028822033,5.858790354212506,1.2527990793209653e-05,2.1383192172695687e-06
CJARS_ss,A_unadjusted,EMM contrast estimate,group diff at T2,-5.9552029932321,-5.955202989686796,3.5453036062449428e-09,5.953287587801908e-10
CJARS_ss,A_unadjusted,EMM contrast SE,group diff at T2,2.7076114406742,2.707611463389896,2.2715695990882523e-08,8.389570102136323e-09
CJARS_ss,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T2,54.271513534656,54.27682768462488,0.005314149968874915,9.791785087182935e-05
CJARS_ss,A_unadjusted,EMM contrast p,group diff at T2,0.032126739431667,0.0321263146812077,4.2475045930467914e-07,1.3221088315174832e-05
CJARS_ss,A_unadjusted,EMM contrast CI lower,group diff at T2,-11.38301518571,-11.38300311902152,1.2066688480416587e-05,1.0600608260248003e-06
CJARS_ss,A_unadjusted,EMM contrast CI upper,group diff at T2,-0.52739080075399,-0.52740286035207,1.2059598079927625e-05,2.2866530972262863e-05
CJARS_ss,A_unadjusted,EMM contrast estimate,group diff at T3,-5.9382532635909,-5.93825325966495,3.925949343397406e-09,6.611286466120441e-10
CJARS_ss,A_unadjusted,EMM contrast SE,group diff at T3,2.6972792030627,2.697279225311205,2.224850481624685e-08,8.248499002618702e-09
CJARS_ss,A_unadjusted,EMM contrast df (Satterthwaite),group diff at T3,53.548779959576,53.55403186070277,0.0052519011267690985,9.807695209365668e-05
CJARS_ss,A_unadjusted,EMM contrast p,group diff at T3,0.032025129566169,0.032024698964538,4.3060163099767346e-07,1.3445742041667066e-05
CJARS_ss,A_unadjusted,EMM contrast CI lower,group diff at T3,-11.34701626054,-11.347004048796045,1.2211743955603538e-05,1.0762074958921744e-06
CJARS_ss,A_unadjusted,EMM contrast CI upper,group diff at T3,-0.52949026664221,-0.529502470533858,1.2203891648021603e-05,2.3048377688627244e-05
